customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00012,Male,0,Yes,No,66,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),74.16,5054.13,Yes
CUST-00013,Male,0,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),74.55,1098.07,No
CUST-00014,Male,0,No,Yes,46,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),26.13,1141.1,No
CUST-00015,Female,0,Yes,No,5,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,No,Electronic check,95.16,408.61,Yes
CUST-00016,Male,0,Yes,No,38,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),66.55,2593.12,Yes
CUST-00017,Female,0,Yes,Yes,44,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,39.22,1501.38,Yes
CUST-00018,Female,0,No,Yes,18,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),30.82,481.1,No
CUST-00019,Female,1,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),107.61,5279.54,No
CUST-00020,Male,0,No,No,26,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Electronic check,76.18,2012.92,No
CUST-00021,Female,1,Yes,No,72,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,80.38,5712.7,Yes
CUST-00022,Male,0,Yes,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),42.45,117.54,No
CUST-00023,Female,0,Yes,Yes,4,Yes,No,DSL,No,No,No,Yes,No,No,One year,No,Credit card (automatic),73.56,298.91,No
CUST-00024,Female,1,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,34.23,1718.82,Yes
CUST-00025,Female,0,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,60.35,3143.82,No
CUST-00026,Female,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,42.98,816.8,No
CUST-00027,Female,0,No,No,72,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,34.99,2583.77,Yes
CUST-00028,Female,0,No,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,98.6,3090.83,No
CUST-00029,Female,0,No,No,72,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),84.75,5799.66,No
CUST-00030,Female,0,No,Yes,24,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),98.61,2109.05,No
CUST-00031,Male,0,Yes,Yes,7,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Mailed check,102.26,639.37,Yes
CUST-00032,Male,0,Yes,No,18,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,57.42,1052.48,No
CUST-00033,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,94.25,5995.97,No
CUST-00034,Female,0,No,No,14,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),92.01,1112.46,No
CUST-00035,Female,0,Yes,Yes,72,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,43.04,2687.05,Yes
CUST-00036,Male,0,No,Yes,51,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Electronic check,87.51,4106.13,Yes
CUST-00037,Female,1,Yes,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,111.53,1923.7,No
CUST-00038,Male,0,No,Yes,24,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Electronic check,87.17,1783.07,No
CUST-00039,Male,1,Yes,Yes,29,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Mailed check,51.15,1555.66,No
CUST-00040,Male,0,Yes,No,35,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,88.8,3225.46,Yes
CUST-00041,Male,0,No,Yes,2,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Electronic check,76.67,144.61,Yes
CUST-00042,Male,0,Yes,Yes,72,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,99.22,6281.27,Yes
CUST-00043,Female,0,No,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,45.56,1165.69,No
CUST-00044,Female,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,34.55,2308.32,No
CUST-00045,Female,0,Yes,No,31,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),61.72,1975.55,Yes
CUST-00046,Female,0,No,Yes,18,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,81.19,1362.84,No
CUST-00047,Female,1,No,Yes,26,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,27.98,674.71,Yes
CUST-00048,Male,0,Yes,No,56,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,44.7,2587.35,No
CUST-00049,Female,0,No,No,12,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,35.04,440.98,Yes
CUST-00050,Female,0,No,Yes,72,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),95.66,6383.16,No
CUST-00051,Male,0,No,No,20,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Mailed check,89.05,1856.71,No
CUST-00052,Female,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,81.1,5114.82,No
CUST-00053,Male,0,Yes,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),64.79,3920.86,No
CUST-00054,Female,1,No,No,46,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,63.22,2724.76,Yes
CUST-00055,Male,0,No,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),70.25,1301.75,No
CUST-00056,Female,0,No,No,28,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Electronic check,100.51,2521.55,Yes
CUST-00057,Female,0,Yes,Yes,58,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,78.17,4285.2,Yes
CUST-00058,Male,0,Yes,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),93.27,2324.23,Yes
CUST-00059,Male,0,No,No,42,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),44.5,1647.25,No
CUST-00060,Male,0,Yes,No,50,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,66.27,3057.58,No
CUST-00061,Male,0,Yes,Yes,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),81.6,1606.79,Yes
CUST-00062,Male,0,Yes,No,24,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,49.92,1247.24,Yes
CUST-00063,Male,0,No,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,70.46,494.29,No
CUST-00064,Male,0,Yes,No,8,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,102.68,751.75,Yes
CUST-00065,Male,0,No,No,72,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,26.02,1657.58,No
CUST-00066,Female,0,No,No,58,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Mailed check,99.55,5520.36,No
CUST-00067,Female,0,No,No,1,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),78.87,70.58,Yes
CUST-00068,Male,1,Yes,No,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),59.58,3712.07,No
CUST-00069,Female,1,Yes,No,1,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,74.66,69.54,Yes
CUST-00070,Female,0,No,No,19,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,No,Bank transfer (automatic),79.15,1445.35,No
CUST-00071,Female,0,No,Yes,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,96.71,185.2,No
CUST-00072,Female,0,No,No,72,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,98.86,6057.8,Yes
CUST-00073,Male,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),92.62,6602.77,Yes
CUST-00074,Female,1,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.97,579.62,No
CUST-00075,Male,0,No,Yes,15,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.24,1081.32,Yes
CUST-00076,Female,1,Yes,No,22,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,61.61,1226.02,Yes
CUST-00077,Female,1,Yes,No,45,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Electronic check,76.17,3567.28,No
CUST-00078,Female,0,No,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,79.1,585.19,Yes
CUST-00079,Male,0,Yes,No,18,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,No,Electronic check,80.17,1297.05,No
CUST-00080,Female,0,No,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,53.42,1921.48,Yes
CUST-00081,Male,1,Yes,No,16,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,63.17,979.46,No
CUST-00082,Female,0,No,Yes,1,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),19.86,20.19,No
CUST-00083,Male,1,Yes,Yes,22,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),112.26,2193.92,No
CUST-00084,Female,0,Yes,Yes,42,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),117.54,4868.94,No
CUST-00085,Male,0,No,Yes,72,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),58.55,3586.86,No
CUST-00086,Male,1,Yes,No,1,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Mailed check,60.42,58.55,No
CUST-00087,Female,0,Yes,No,24,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),64.43,1336.23,No
CUST-00088,Male,0,Yes,No,19,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Mailed check,47.74,933.7,No
CUST-00089,Female,0,No,No,8,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,62.02,450.09,Yes
CUST-00090,Female,0,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,54.29,1647.02,No
CUST-00091,Female,0,No,No,5,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),20.22,93.85,Yes
CUST-00092,Female,0,Yes,No,10,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),30.98,299.18,No
CUST-00093,Female,1,No,Yes,48,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,26.16,1146.08,No
CUST-00094,Female,1,Yes,No,19,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,42.25,830.88,No
CUST-00095,Female,0,No,Yes,72,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Electronic check,28.28,1863.16,No
CUST-00096,Female,0,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,41.38,592.57,No
CUST-00097,Female,0,No,No,19,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,No,Mailed check,18.66,329.8,Yes
CUST-00098,Female,0,No,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,117.62,1159.44,No
CUST-00099,Female,1,No,Yes,8,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),29.23,245.09,Yes
CUST-00100,Male,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),102.68,7281.06,No
CUST-00101,Male,0,Yes,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,28.51,1194.77,No
CUST-00102,Female,0,No,Yes,12,Yes,No,DSL,Yes,No,No,Yes,Yes,No,One year,Yes,Mailed check,49.54,582.37,No
CUST-00103,Female,0,Yes,Yes,38,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,112.88,4083.24,No
CUST-00104,Female,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,49.48,3566.98,Yes
CUST-00105,Female,0,Yes,Yes,2,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,84.04,150.1,No
CUST-00106,Female,0,Yes,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),50.24,473.67,Yes
CUST-00107,Female,0,Yes,No,7,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,113.01,719.18,Yes
CUST-00108,Female,0,No,No,65,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,19.3,1166.64,No
CUST-00109,Female,0,Yes,Yes,6,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,43.49,272.38,Yes
CUST-00110,Male,0,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),59.77,592.48,Yes
CUST-00111,Female,0,No,No,25,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,101.11,2234.08,Yes
CUST-00112,Male,0,Yes,Yes,31,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),75.84,2292.39,Yes
CUST-00113,Female,0,No,Yes,52,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),108.18,5867.04,No
CUST-00114,Female,0,No,Yes,16,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),107.06,1796.07,Yes
CUST-00115,Male,0,No,No,24,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,No,Mailed check,114.26,2461.65,Yes
CUST-00116,Female,1,No,No,72,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),36.61,2400.0,No
CUST-00117,Male,1,Yes,Yes,11,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Mailed check,60.69,672.6,No
CUST-00118,Female,0,Yes,No,9,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,No,Electronic check,61.21,485.29,Yes
CUST-00119,Female,1,Yes,No,39,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),30.62,1092.79,Yes
CUST-00120,Male,0,No,No,47,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),113.23,5112.52,No
CUST-00121,Female,0,Yes,No,17,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Mailed check,54.7,835.41,No
CUST-00122,Male,0,Yes,Yes,7,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),82.5,493.81,No
CUST-00123,Female,0,Yes,Yes,48,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),78.97,3236.69,No
CUST-00124,Male,0,No,No,35,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,No,Mailed check,42.07,1537.67,No
CUST-00125,Male,0,Yes,Yes,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),75.76,4735.53,Yes
CUST-00126,Female,0,No,No,59,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Mailed check,44.01,2711.91,No
CUST-00127,Female,0,Yes,No,7,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),46.98,304.47,Yes
CUST-00128,Male,0,Yes,No,57,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,No,Mailed check,73.58,4251.94,No
CUST-00129,Female,1,Yes,No,6,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.16,337.98,Yes
CUST-00130,Female,0,No,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),60.79,3297.62,No
CUST-00131,Female,0,No,No,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),57.78,2498.99,No
CUST-00132,Male,0,Yes,No,26,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,94.1,2099.35,No
CUST-00133,Male,0,Yes,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),46.48,1408.99,No
CUST-00134,Male,0,No,No,3,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),49.67,145.7,Yes
CUST-00135,Male,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,76.47,66.8,Yes
CUST-00136,Male,0,Yes,Yes,12,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,115.16,1291.51,No
CUST-00137,Male,0,Yes,Yes,55,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,47.5,2696.67,Yes
CUST-00138,Male,0,Yes,No,20,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),60.06,1156.94,No
CUST-00139,Male,0,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),31.15,236.49,No
CUST-00140,Male,0,Yes,No,57,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),82.65,4611.4,No
CUST-00141,Female,0,Yes,No,8,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,43.5,357.51,Yes
CUST-00142,Male,0,No,Yes,54,Yes,No,DSL,Yes,No,No,No,No,No,Two year,No,Mailed check,71.12,3882.32,No
CUST-00143,Female,0,Yes,No,19,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,60.47,1034.9,No
CUST-00144,Female,1,No,No,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),96.23,1566.46,No
CUST-00145,Female,1,Yes,No,10,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,101.96,927.11,Yes
CUST-00146,Male,1,No,No,72,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,92.36,6850.64,No
CUST-00147,Male,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,63.51,119.16,No
CUST-00148,Male,0,No,No,4,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,59.96,239.82,No
CUST-00149,Male,0,Yes,No,32,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),59.69,1919.5,No
CUST-00150,Female,0,No,No,60,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,68.66,4010.76,Yes
CUST-00151,Male,0,Yes,No,3,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,80.45,214.19,Yes
CUST-00152,Male,0,Yes,Yes,42,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,50.83,2036.02,No
CUST-00153,Male,1,No,No,43,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,91.82,3728.53,Yes
CUST-00154,Male,0,No,No,27,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,109.34,2887.19,No
CUST-00155,Male,1,Yes,No,21,Yes,No,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),25.05,535.23,No
CUST-00156,Female,0,No,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.42,209.89,No
CUST-00157,Male,0,Yes,No,13,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),86.14,1024.88,Yes
CUST-00158,Female,0,Yes,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,83.16,2911.62,No
CUST-00159,Male,0,No,No,2,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),64.32,130.52,No
CUST-00160,Female,0,Yes,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),101.49,2517.95,Yes
CUST-00161,Male,0,No,Yes,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),93.57,861.8,Yes
CUST-00162,Male,0,Yes,No,20,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),115.4,2192.94,Yes
CUST-00163,Female,0,No,Yes,26,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.25,2568.68,No
CUST-00164,Female,1,No,Yes,69,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,26.48,1697.55,No
CUST-00165,Female,0,No,No,27,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),60.06,1609.57,Yes
CUST-00166,Male,1,No,No,8,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),54.08,407.01,No
CUST-00167,Female,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),102.17,187.25,Yes
CUST-00168,Male,0,No,No,31,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,41.93,1215.24,No
CUST-00169,Male,0,Yes,No,25,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,29.3,647.44,No
CUST-00170,Female,0,No,Yes,35,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,26.09,802.58,No
CUST-00171,Female,0,No,No,19,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),74.73,1383.75,No
CUST-00172,Male,0,No,No,55,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,49.0,2512.01,No
CUST-00173,Male,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),37.28,2787.11,No
